"Company","Date","Close"
"Apple",2017-01-03,116.15
"Google",2017-01-03,808.01
"Amazon",2017-01-03,753.67
"Facebook",2017-01-03,116.86
"Baidu",2017-01-03,168.3
"Alibaba",2017-01-03,88.6
"Tencent(HK)",2017-01-03,189.4
"Apple",2017-01-04,116.02
"Google",2017-01-04,807.77
"Amazon",2017-01-04,757.18
"Facebook",2017-01-04,118.69
"Baidu",2017-01-04,171.96
"Alibaba",2017-01-04,90.51
"Tencent(HK)",2017-01-04,189
"Apple",2017-01-05,116.61
"Google",2017-01-05,813.02
"Amazon",2017-01-05,780.45
"Facebook",2017-01-05,120.67
"Baidu",2017-01-05,177.47
"Alibaba",2017-01-05,94.37
"Tencent(HK)",2017-01-05,193.3
"Apple",2017-01-06,117.91
"Google",2017-01-06,825.21
"Amazon",2017-01-06,795.99
"Facebook",2017-01-06,123.41
"Baidu",2017-01-06,176.38
"Alibaba",2017-01-06,93.89
"Tencent(HK)",2017-01-06,195.1
"Apple",2017-01-09,118.99
"Google",2017-01-09,827.18
"Amazon",2017-01-09,796.92
"Facebook",2017-01-09,124.9
"Baidu",2017-01-09,177.16
"Alibaba",2017-01-09,94.72
"Tencent(HK)",2017-01-09,195.6
"Apple",2017-01-10,119.11
"Google",2017-01-10,826.01
"Amazon",2017-01-10,795.9
"Facebook",2017-01-10,124.35
"Baidu",2017-01-10,180.31
"Alibaba",2017-01-10,96.75
"Tencent(HK)",2017-01-10,198
"Apple",2017-01-11,119.75
"Google",2017-01-11,829.86
"Amazon",2017-01-11,799.02
"Facebook",2017-01-11,126.09
"Baidu",2017-01-11,179.32
"Alibaba",2017-01-11,96.94
"Tencent(HK)",2017-01-11,200.8
"Apple",2017-01-12,119.25
"Google",2017-01-12,829.53
"Amazon",2017-01-12,813.64
"Facebook",2017-01-12,126.62
"Baidu",2017-01-12,177.57
"Alibaba",2017-01-12,95.9
"Tencent(HK)",2017-01-12,198.8
"Apple",2017-01-13,119.04
"Google",2017-01-13,830.94
"Amazon",2017-01-13,817.14
"Facebook",2017-01-13,128.34
"Baidu",2017-01-13,176.48
"Alibaba",2017-01-13,96.27
"Tencent(HK)",2017-01-13,199.7
"Tencent(HK)",2017-01-16,196.7
"Apple",2017-01-17,120
"Google",2017-01-17,827.46
"Amazon",2017-01-17,809.72
"Facebook",2017-01-17,127.87
"Baidu",2017-01-17,176.96
"Alibaba",2017-01-17,96.12
"Tencent(HK)",2017-01-17,197.7
"Apple",2017-01-18,119.99
"Google",2017-01-18,829.02
"Amazon",2017-01-18,807.48
"Facebook",2017-01-18,127.92
"Baidu",2017-01-18,176.54
"Alibaba",2017-01-18,96
"Tencent(HK)",2017-01-18,199.7
"Apple",2017-01-19,119.78
"Google",2017-01-19,824.37
"Amazon",2017-01-19,809.04
"Facebook",2017-01-19,127.55
"Baidu",2017-01-19,176.09
"Alibaba",2017-01-19,96.17
"Tencent(HK)",2017-01-19,199.5
"Apple",2017-01-20,120
"Google",2017-01-20,828.17
"Amazon",2017-01-20,808.33
"Facebook",2017-01-20,127.04
"Baidu",2017-01-20,173.44
"Alibaba",2017-01-20,96.06
"Tencent(HK)",2017-01-20,197.7
"Apple",2017-01-23,120.08
"Google",2017-01-23,844.43
"Amazon",2017-01-23,817.88
"Facebook",2017-01-23,128.93
"Baidu",2017-01-23,175.97
"Alibaba",2017-01-23,98.41
"Tencent(HK)",2017-01-23,197.8
"Apple",2017-01-24,119.97
"Google",2017-01-24,849.53
"Amazon",2017-01-24,822.44
"Facebook",2017-01-24,129.37
"Baidu",2017-01-24,176.05
"Alibaba",2017-01-24,101.43
"Tencent(HK)",2017-01-24,197.8
"Apple",2017-01-25,121.88
"Google",2017-01-25,858.45
"Amazon",2017-01-25,836.52
"Facebook",2017-01-25,131.48
"Baidu",2017-01-25,176.61
"Alibaba",2017-01-25,104.06
"Tencent(HK)",2017-01-25,200.8
"Apple",2017-01-26,121.94
"Google",2017-01-26,856.98
"Amazon",2017-01-26,839.15
"Facebook",2017-01-26,132.78
"Baidu",2017-01-26,174.95
"Alibaba",2017-01-26,102.75
"Tencent(HK)",2017-01-26,205
"Apple",2017-01-27,121.95
"Google",2017-01-27,845.03
"Amazon",2017-01-27,835.77
"Facebook",2017-01-27,132.18
"Baidu",2017-01-27,174.1
"Alibaba",2017-01-27,102.07
"Tencent(HK)",2017-01-27,204.4
"Apple",2017-01-30,121.63
"Google",2017-01-30,823.83
"Amazon",2017-01-30,830.38
"Facebook",2017-01-30,130.98
"Baidu",2017-01-30,174.72
"Alibaba",2017-01-30,101.02
"Apple",2017-01-31,121.35
"Google",2017-01-31,820.19
"Amazon",2017-01-31,823.48
"Facebook",2017-01-31,130.32
"Baidu",2017-01-31,175.07
"Alibaba",2017-01-31,101.31
"Apple",2017-02-01,128.75
"Google",2017-02-01,815.24
"Amazon",2017-02-01,832.35
"Facebook",2017-02-01,133.23
"Baidu",2017-02-01,173.82
"Alibaba",2017-02-01,101.57
"Tencent(HK)",2017-02-01,206.6
"Apple",2017-02-02,128.53
"Google",2017-02-02,818.26
"Amazon",2017-02-02,839.95
"Facebook",2017-02-02,130.84
"Baidu",2017-02-02,173.4
"Alibaba",2017-02-02,100.84
"Tencent(HK)",2017-02-02,205.2
"Apple",2017-02-03,129.08
"Google",2017-02-03,820.13
"Amazon",2017-02-03,810.2
"Facebook",2017-02-03,130.98
"Baidu",2017-02-03,175.17
"Alibaba",2017-02-03,100.39
"Tencent(HK)",2017-02-03,205
"Apple",2017-02-06,130.29
"Google",2017-02-06,821.62
"Amazon",2017-02-06,807.64
"Facebook",2017-02-06,132.06
"Baidu",2017-02-06,177.81
"Alibaba",2017-02-06,100.9
"Tencent(HK)",2017-02-06,207.4
"Apple",2017-02-07,131.53
"Google",2017-02-07,829.23
"Amazon",2017-02-07,812.5
"Facebook",2017-02-07,131.84
"Baidu",2017-02-07,178.17
"Alibaba",2017-02-07,100.83
"Tencent(HK)",2017-02-07,205.4
"Apple",2017-02-08,132.04
"Google",2017-02-08,829.88
"Amazon",2017-02-08,819.71
"Facebook",2017-02-08,134.2
"Baidu",2017-02-08,181.5
"Alibaba",2017-02-08,103.57
"Tencent(HK)",2017-02-08,204
"Apple",2017-02-09,132.42
"Google",2017-02-09,830.06
"Amazon",2017-02-09,821.36
"Facebook",2017-02-09,134.14
"Baidu",2017-02-09,181.5
"Alibaba",2017-02-09,103.34
"Tencent(HK)",2017-02-09,204.2
"Apple",2017-02-10,132.12
"Google",2017-02-10,834.85
"Amazon",2017-02-10,827.46
"Facebook",2017-02-10,134.19
